Region,Country,Year,Age,Gender,Literacy rate
Central and Southern Asia,Afghanistan,2011,15+,female,0.1761206
Central and Southern Asia,Afghanistan,2011,15+,male,0.454171
Central and Southern Asia,Afghanistan,2011,15+,total,0.3174112
,Afghanistan,2011,15-24,female,0.3211322
,Afghanistan,2011,15-24,male,0.6187907
Central and Southern Asia,Afghanistan,2011,15-24,total,0.46990049999999994
Central and Southern Asia,Afghanistan,2011,25-64,female,0.08412760000000001
Central and Southern Asia,Afghanistan,2011,25-64,male,0.3779481
Central and Southern Asia,Afghanistan,2011,25-64,total,0.2315362
Central and Southern Asia,Afghanistan,2011,65+,female,0.19670490000000002
Central and Southern Asia,Afghanistan,2011,65+,total,0.20321850000000002
Central and Southern Asia,Afghanistan,2018,15+,female,0.2980521
Central and Southern Asia,Afghanistan,2018,15+,male,0.5547545
Central and Southern Asia,Afghanistan,2018,15+,total,0.4301972
Central and Southern Asia,Afghanistan,2018,15-24,female,0.5625475
Central and Southern Asia,Afghanistan,2018,15-24,male,0.7408480000000001
Central and Southern Asia,Afghanistan,2018,15-24,total,0.6542055000000001
Central and Southern Asia,Afghanistan,2018,25-64,female,0.1433139
Central and Southern Asia,Afghanistan,2018,25-64,male,45.384%
Central and Southern Asia,Afghanistan,2018,25-64,total,0.30457850000000003
Central and Southern Asia,Afghanistan,2018,65+,female,0.0347429
Central and Southern Asia,Afghanistan,2018,65+,male,0.2474501
Central and Southern Asia,Afghanistan,2018,65+,total,0.1333184
Central and Southern Asia,Bangladesh,2011,15+,female,0.5511944
Central and Southern Asia,Bangladesh,2011,15+,male,0.6248306
Central and Southern Asia,Bangladesh,2011,15+,total,0.5876918
Central and Southern Asia,Bangladesh,2011,15-24,female,0.7954449
Central and Southern Asia,Bangladesh,2011,15-24,male,0.7640340000000001
Central and Southern Asia,Bangladesh,2011,15-24,total,0.7798499
Central and Southern Asia,Bangladesh,2011,25-64,female,0.4806527
Central and Southern Asia,Bangladesh,2011,25-64,male,0.5854189000000001
Central and Southern Asia,Bangladesh,2011,25-64,total,0.5323882
Central and Southern Asia,Bangladesh,2011,65+,female,0.1843055
Central and Southern Asia,Bangladesh,2011,65+,male,0.4150517
Central and Southern Asia,Bangladesh,2011,65+,total,0.3019119
Central and Southern Asia,Bangladesh,2012,15+,female,0.5423604000000001
Central and Southern Asia,Bangladesh,2012,15+,male,0.6154287
Central and Southern Asia,Bangladesh,2012,15+,total,0.5786075
Central and Southern Asia,Bangladesh,2012,15-24,female,0.7936920000000001
Central and Southern Asia,Bangladesh,2012,15-24,male,0.7627630999999999
Central and Southern Asia,Bangladesh,2012,15-24,total,0.7783291
Central and Southern Asia,Bangladesh,2012,25-64,female,0.4722051
Central and Southern Asia,Bangladesh,2012,25-64,male,0.5741008
Central and Southern Asia,Bangladesh,2012,25-64,total,0.5225135000000001
Central and Southern Asia,Bangladesh,2012,65+,female,0.14080310000000001
Central and Southern Asia,Bangladesh,2012,65+,male,0.39473379999999997
Central and Southern Asia,Bangladesh,2012,65+,total,0.2718105
Central and Southern Asia,Bangladesh,2013,15+,female,0.57789
Central and Southern Asia,Bangladesh,2013,15+,male,0.6421376999999999
Central and Southern Asia,Bangladesh,2013,15+,total,0.6101554
Central and Southern Asia,Bangladesh,2013,15-24,female,0.8692579
Central and Southern Asia,Bangladesh,2013,15-24,male,0.8409449999999999
Central and Southern Asia,Bangladesh,2013,15-24,total,0.8552715000000001
Central and Southern Asia,Bangladesh,2013,25-64,female,0.48924930000000005
Central and Southern Asia,Bangladesh,2013,25-64,male,0.5856812
Central and Southern Asia,Bangladesh,2013,25-64,total,0.5373964999999999
Central and Southern Asia,Bangladesh,2013,65+,female,0.1530414
Central and Southern Asia,Bangladesh,2013,65+,male,0.4008797
