instructor,course,semester,class_size,score
23,3,Summer,19,High
15,3,Summer,17,High
23,3,Regular,49,High
5,2,Regular,33,High
7,11,Regular,55,High
23,3,Summer,20,High
9,5,Regular,19,High
10,3,Regular,27,High
22,3,Summer,58,High
15,3,Summer,20,High
10,22,Regular,9,High
13,1,Regular,30,High
18,21,Regular,29,High
6,17,Regular,39,High
6,17,Regular,42,Medium
6,17,Regular,43,Medium
7,11,Regular,10,Medium
22,3,Regular,46,Medium
13,3,Summer,10,Medium
7,25,Regular,42,Medium
25,7,Regular,27,Medium
25,7,Regular,23,Medium
2,9,Regular,31,Medium
1,15,Summer,22,Medium
15,13,Regular,37,Medium
7,11,Regular,13,Medium
8,3,Regular,24,Medium
14,15,Regular,38,Medium
21,2,Regular,42,Low
22,3,Regular,28,Low
11,1,Regular,51,Low
18,5,Regular,19,Low
13,1,Regular,31,Low
13,3,Summer,13,Low
5,2,Regular,37,Low
16,8,Regular,36,Low
4,16,Regular,21,Low
5,2,Regular,48,Low
14,15,Regular,38,Low
23,3,Summer,19,High
15,3,Summer,17,High
23,3,Regular,49,High
5,2,Regular,33,High
7,11,Regular,55,High
23,3,Summer,20,High
9,5,Regular,19,High
10,3,Regular,27,High
22,3,Regular,58,High
15,3,Summer,20,High
10,22,Regular,9,High
13,1,Regular,30,High
18,21,Regular,29,High
6,17,Regular,39,High
6,17,Regular,42,Medium
6,17,Regular,43,Medium
7,11,Regular,10,Medium
22,3,Regular,46,Medium
13,3,Summer,10,Medium
7,25,Regular,42,Medium
25,7,Regular,27,Medium
25,7,Regular,23,Medium
2,9,Regular,31,Medium
1,15,Summer,22,Medium
15,13,Regular,37,Medium
7,11,Regular,13,Medium
8,3,Regular,24,Medium
14,15,Regular,38,Medium
21,2,Regular,42,Low
22,3,Regular,28,Low
11,1,Regular,51,Low
18,5,Regular,19,Low
13,1,Regular,31,Low
13,3,Summer,13,Low
5,2,Regular,37,Low
16,8,Regular,36,Low
4,16,Regular,21,Low
5,2,Regular,48,Low
14,15,Regular,38,Low
23,3,Summer,25,High
13,3,Summer,17,High
16,19,Regular,11,High
9,2,Regular,39,High
13,3,Summer,11,High
18,21,Regular,19,High
22,3,Regular,45,High
7,11,Summer,20,High
23,3,Summer,20,High
23,3,Summer,20,High
23,3,Regular,38,High
14,22,Regular,17,High
17,17,Regular,19,High
9,5,Regular,24,High
18,25,Regular,25,High
17,17,Regular,31,High
1,15,Regular,31,High
1,8,Regular,18,Medium
11,16,Regular,22,Medium
22,13,Regular,27,Medium
9,2,Regular,14,Medium
13,1,Regular,20,Medium
6,17,Regular,35,Medium
23,3,Summer,20,Medium
23,3,Summer,20,Medium
6,17,Regular,37,Medium
22,3,Regular,15,Medium
20,2,Regular,25,Medium
23,3,Regular,10,Medium
20,2,Regular,14,Low
23,3,Regular,38,Low
13,1,Regular,29,Low
10,3,Regular,19,Low
7,11,Regular,30,Low
14,15,Regular,32,Low
8,3,Regular,27,Low
12,7,Regular,34,Low
8,7,Regular,23,Low
15,1,Regular,66,Low
23,3,Regular,12,Low
2,9,Regular,29,Low
15,1,Regular,19,Low
20,2,Regular,3,Low
13,14,Regular,17,High
9,6,Regular,7,High
10,3,Regular,21,High
14,15,Regular,36,High
13,1,Regular,54,High
8,3,Regular,29,High
20,2,Regular,45,High
22,1,Regular,11,Medium
18,12,Regular,16,Medium
20,15,Regular,18,Medium
17,18,Regular,44,Medium
14,23,Regular,17,Medium
24,26,Regular,21,Medium
9,24,Regular,20,Medium
12,8,Regular,24,Medium
9,6,Regular,5,Medium
22,1,Regular,42,Medium
7,11,Regular,30,Low
10,3,Regular,19,Low
23,3,Regular,11,Low
17,18,Regular,29,Low
16,20,Regular,15,Low
3,2,Regular,37,Low
19,4,Regular,10,Low
23,3,Regular,24,Low
3,2,Regular,26,Low
10,3,Regular,12,Low
18,7,Regular,48,Low
22,1,Regular,51,Low
2,10,Regular,27,Low
